Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Hana,android,browseTitles,,,2021-10-10 06:08:47
Hana,android,browseTitles,,,2021-10-10 06:08:44
Hana,android,playback,,,2021-10-09 19:41:32
Hana,android,browseTitles,,,2021-10-09 19:41:31
Hana,android,browseTitles,,,2021-10-09 19:41:21
Hana,android,profilesGate,,,2021-10-09 19:41:18
Hana,android,playback,,,2021-10-09 17:44:42
Hana,android,browseTitles,,,2021-10-09 17:44:41
Hana,android,browseTitles,,,2021-10-09 17:44:34
Hana,android,profilesGate,,,2021-10-09 17:44:33
Hana,android,browseTitles,,,2021-10-09 06:30:15
Hana,android,browseTitles,,,2021-10-09 06:30:11
Hana,android,browseTitles,,,2021-10-08 18:35:59
Hana,android,browseTitles,,,2021-10-08 18:35:54
Hana,android,profilesGate,,,2021-10-08 18:35:52
Hana,android,playback,,,2021-10-08 18:35:50
Hana,android,playback,,,2021-10-07 20:04:41
Hana,android,playback,,,2021-10-07 20:04:29
Hana,android,movieDetails,,,2021-10-07 20:04:22
Hana,android,browseTitles,,,2021-10-07 20:04:22
Hana,android,browseTitles,,,2021-10-07 20:04:22
Hana,android,browseTitles,,,2021-10-07 20:04:18
Hana,android,movieDetails,,,2021-10-07 20:04:18
Hana,android,browseTitles,,,2021-10-07 20:04:06
Hana,android,playback,,,2021-10-07 20:04:06
Hana,android,playback,,,2021-10-07 20:04:05
Hana,android,browseTitles,,,2021-10-07 20:04:04
Hana,android,playback,,,2021-10-07 05:38:47
Hana,android,browseTitles,,,2021-10-07 05:38:46
Hana,android,browseTitles,,,2021-10-07 05:38:27
Hana,android,profilesGate,,,2021-10-07 05:38:25
Hana,android,playback,,,2021-10-05 19:10:47
